#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	1
#	4
#	16
#	128
#	1024
#	10240
#	102400
#	1024000
#@operation=MPI.Op(Ptr{Nothing} @0x00007f56450e3100, nothing)
#@datatype=UInt8
#@nrep=20
#@root_proc=0
#@nprocs=36
#@verbose=true
process                                               test       nrep        count           time
     18                                          MPI_Bcast          7            1   0.0000041490
     18                                          MPI_Bcast          8            1   0.0000013640
     18                                          MPI_Bcast          9            1   0.0000028780
     18                                          MPI_Bcast         10            1   0.0000030280
     18                                          MPI_Bcast         11            1   0.0000024040
     18                                          MPI_Bcast         12            1   0.0000040920
     18                                          MPI_Bcast         13            1   0.0000030720
     18                                          MPI_Bcast         14            1   0.0000062650
     18                                          MPI_Bcast         15            1   0.0000061330
     18                                          MPI_Bcast         16            1   0.0000031700
     18                                          MPI_Bcast         17            1   0.0000030170
     18                                          MPI_Bcast         18            1   0.0000036470
     18                                          MPI_Bcast         19            1   0.0000029580
     18                                          MPI_Bcast         20            1   0.0000027350
     19                                          MPI_Bcast          1            1   0.0001200140
     19                                          MPI_Bcast          2            1   0.0000032590
     19                                          MPI_Bcast          3            1   0.0000015280
     19                                          MPI_Bcast          4            1   0.0000034880
     19                                          MPI_Bcast          5            1   0.0000053250
     19                                          MPI_Bcast          6            1   0.0000025060
     19                                          MPI_Bcast          7            1   0.0000037940
     19                                          MPI_Bcast          8            1   0.0000017720
     19                                          MPI_Bcast          9            1   0.0000018320
     19                                          MPI_Bcast         10            1   0.0000019340
     19                                          MPI_Bcast         11            1   0.0000019340
     19                                          MPI_Bcast         12            1   0.0000031190
     19                                          MPI_Bcast         13            1   0.0000018420
     19                                          MPI_Bcast         14            1   0.0000020250
     19                                          MPI_Bcast         15            1   0.0000079790
     19                                          MPI_Bcast         16            1   0.0000020910
     19                                          MPI_Bcast         17            1   0.0000017980
     19                                          MPI_Bcast         18            1   0.0000018840
     19                                          MPI_Bcast         19            1   0.0000019030
     19                                          MPI_Bcast         20            1   0.0000016070
     20                                          MPI_Bcast          1            1   0.0000993140
     20                                          MPI_Bcast          2            1   0.0000043660
     20                                          MPI_Bcast          3            1   0.0000040900
     20                                          MPI_Bcast          4            1   0.0000039720
     20                                          MPI_Bcast          5            1   0.0000040700
     20                                          MPI_Bcast          6            1   0.0000040940
     20                                          MPI_Bcast          7            1   0.0000052410
     20                                          MPI_Bcast          8            1   0.0000033100
     20                                          MPI_Bcast          9            1   0.0000043520
     20                                          MPI_Bcast         10            1   0.0000033850
     20                                          MPI_Bcast         11            1   0.0000035980
     20                                          MPI_Bcast         12            1   0.0000051510
     20                                          MPI_Bcast         13            1   0.0000035500
     20                                          MPI_Bcast         14            1   0.0000052870
     20                                          MPI_Bcast         15            1   0.0000056870
