#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	1
#	4
#	16
#	128
#	1024
#	10240
#	102400
#	1024000
#@operation=MPI.Op(Ptr{Nothing} @0x00007fa4c487b100, nothing)
#@datatype=UInt8
#@nrep=20
#@root_proc=0
#@nprocs=32
#@verbose=true
process                                               test       nrep        count           time
     20                                          MPI_Bcast          5            1   0.0000064380
     20                                          MPI_Bcast          6            1   0.0000061800
     20                                          MPI_Bcast          7            1   0.0000075640
     20                                          MPI_Bcast          8            1   0.0000071630
     20                                          MPI_Bcast          9            1   0.0000067110
     20                                          MPI_Bcast         10            1   0.0000062510
     20                                          MPI_Bcast         11            1   0.0000054930
     20                                          MPI_Bcast         12            1   0.0000067730
     20                                          MPI_Bcast         13            1   0.0000063480
     20                                          MPI_Bcast         14            1   0.0000064560
     20                                          MPI_Bcast         15            1   0.0000048760
     20                                          MPI_Bcast         16            1   0.0000064650
     20                                          MPI_Bcast         17            1   0.0000073430
     20                                          MPI_Bcast         18            1   0.0000064310
     20                                          MPI_Bcast         19            1   0.0000058810
     20                                          MPI_Bcast         20            1   0.0000071700
     21                                          MPI_Bcast          1            1   0.0001186140
     21                                          MPI_Bcast          2            1   0.0000044620
     21                                          MPI_Bcast          3            1   0.0000050990
     21                                          MPI_Bcast          4            1   0.0000046200
     21                                          MPI_Bcast          5            1   0.0000045860
     21                                          MPI_Bcast          6            1   0.0000042910
     21                                          MPI_Bcast          7            1   0.0000052630
     21                                          MPI_Bcast          8            1   0.0000048210
     21                                          MPI_Bcast          9            1   0.0000047820
     21                                          MPI_Bcast         10            1   0.0000046430
     21                                          MPI_Bcast         11            1   0.0000043640
     21                                          MPI_Bcast         12            1   0.0000043160
     21                                          MPI_Bcast         13            1   0.0000046270
     21                                          MPI_Bcast         14            1   0.0000043180
     21                                          MPI_Bcast         15            1   0.0000013270
     21                                          MPI_Bcast         16            1   0.0000045030
     21                                          MPI_Bcast         17            1   0.0000053570
     21                                          MPI_Bcast         18            1   0.0000042010
     21                                          MPI_Bcast         19            1   0.0000042900
